species,source,type
Acantharchus pomotis,Fish Tree of Life,backbone tree
Achirus lineatus,Fish Tree of Life,backbone tree
Acipenser brevirostrum,Fish Tree of Life,backbone tree
Acipenser fulvescens,Fish Tree of Life,backbone tree
Acipenser oxyrinchus,Fish Tree of Life,backbone tree
Acrocheilus alutaceus,Fish Tree of Life,backbone tree
Agonostomus monticola,Fish Tree of Life,backbone tree
Agosia chrysogaster,Fish Tree of Life,backbone tree
Alosa aestivalis,Fish Tree of Life,backbone tree
Alosa alabamae,Fish Tree of Life,backbone tree
Alosa chrysochloris,Fish Tree of Life,backbone tree
Alosa mediocris,Fish Tree of Life,backbone tree
Alosa pseudoharengus,Fish Tree of Life,backbone tree
Alosa sapidissima,Fish Tree of Life,backbone tree
Ambloplites ariommus,Fish Tree of Life,backbone tree
Ambloplites cavifrons,Fish Tree of Life,backbone tree
Ambloplites constellatus,Fish Tree of Life,backbone tree
Ambloplites rupestris,Fish Tree of Life,backbone tree
Ameiurus brunneus,Fish Tree of Life,backbone tree
Ameiurus catus,Fish Tree of Life,backbone tree
Ameiurus melas,Fish Tree of Life,backbone tree
Ameiurus natalis,Fish Tree of Life,backbone tree
Ameiurus nebulosus,Fish Tree of Life,backbone tree
Ameiurus platycephalus,Fish Tree of Life,backbone tree
Ameiurus serracanthus,Fish Tree of Life,backbone tree
Amia calva,Fish Tree of Life,backbone tree
Ammocrypta beanii,Fish Tree of Life,backbone tree
Ammocrypta bifascia,Fish Tree of Life,backbone tree
Ammocrypta clara,Fish Tree of Life,backbone tree
Ammocrypta meridiana,Fish Tree of Life,backbone tree
Ammocrypta pellucida,Fish Tree of Life,backbone tree
Ammocrypta vivax,Fish Tree of Life,backbone tree
Anchoa hepsetus,Fish Tree of Life,backbone tree
Anchoa mitchilli,Fish Tree of Life,backbone tree
Anguilla rostrata,Fish Tree of Life,backbone tree
Apeltes quadracus,Fish Tree of Life,backbone tree
Aphredoderus sayanus,Fish Tree of Life,backbone tree
Aplodinotus grunniens,Fish Tree of Life,backbone tree
Archoplites interruptus,Fish Tree of Life,backbone tree
Archosargus probatocephalus,Fish Tree of Life,backbone tree
Ariopsis felis,Fish Tree of Life,backbone tree
Astyanax mexicanus,Fish Tree of Life,backbone tree
Atractosteus spatula,Fish Tree of Life,backbone tree
Awaous banana,Fish Tree of Life,backbone tree
Bagre marinus,Fish Tree of Life,backbone tree
Bairdiella chrysoura,Fish Tree of Life,backbone tree
Bothus robinsi,Fish Tree of Life,backbone tree
Brevoortia patronus,Fish Tree of Life,backbone tree
Brevoortia tyrannus,Fish Tree of Life,backbone tree
Caranx hippos,Fish Tree of Life,backbone tree
Carassius auratus,Fish Tree of Life,backbone tree
Carpiodes carpio,Fish Tree of Life,backbone tree
Carpiodes cyprinus,Fish Tree of Life,backbone tree
Carpiodes velifer,Fish Tree of Life,backbone tree
Catostomus ardens,Fish Tree of Life,backbone tree
Catostomus catostomus,Fish Tree of Life,backbone tree
Catostomus clarkii,Fish Tree of Life,backbone tree
Catostomus columbianus,Fish Tree of Life,backbone tree
Catostomus commersonii,Fish Tree of Life,backbone tree
Catostomus discobolus,Fish Tree of Life,backbone tree
Catostomus insignis,Fish Tree of Life,backbone tree
Catostomus macrocheilus,Fish Tree of Life,backbone tree
Catostomus occidentalis,Fish Tree of Life,backbone tree
Catostomus platyrhynchus,Fish Tree of Life,backbone tree
Catostomus plebeius,Fish Tree of Life,backbone tree
Catostomus rimiculus,Fish Tree of Life,backbone tree
Catostomus santaanae,Fish Tree of Life,backbone tree
Catostomus snyderi,Fish Tree of Life,backbone tree
Catostomus tahoensis,Fish Tree of Life,backbone tree
Centrarchus macropterus,Fish Tree of Life,backbone tree
Centropomus undecimalis,Fish Tree of Life,backbone tree
Channa argus,Fish Tree of Life,backbone tree
Channa micropeltes,Fish Tree of Life,backbone tree
Chologaster cornuta,Fish Tree of Life,backbone tree
Chrosomus cumberlandensis,Fish Tree of Life,backbone tree
Chrosomus eos,Fish Tree of Life,backbone tree
Chrosomus erythrogaster,Fish Tree of Life,backbone tree
Chrosomus oreas,Fish Tree of Life,backbone tree
Chrosomus tennesseensis,Fish Tree of Life,backbone tree
Cichlasoma bimaculatum,Fish Tree of Life,backbone tree
Cichlasoma urophthalmus,Fish Tree of Life,backbone tree
Citharichthys spilopterus,Fish Tree of Life,backbone tree
Clarias batrachus,Fish Tree of Life,backbone tree
Clinostomus elongatus,Fish Tree of Life,backbone tree
Clinostomus funduloides,Fish Tree of Life,backbone tree
Coregonus clupeaformis,Fish Tree of Life,backbone tree
Cottus aleuticus,Fish Tree of Life,backbone tree
Cottus asper,Fish Tree of Life,backbone tree
Cottus baileyi,Fish Tree of Life,backbone tree
Cottus bairdii,Fish Tree of Life,backbone tree
Cottus beldingii,Fish Tree of Life,backbone tree
Cottus caeruleomentum,Fish Tree of Life,backbone tree
Cottus carolinae,Fish Tree of Life,backbone tree
Cottus chattahoochee,Fish Tree of Life,backbone tree
Cottus cognatus,Fish Tree of Life,backbone tree
Cottus confusus,Fish Tree of Life,backbone tree
Cottus girardi,Fish Tree of Life,backbone tree
Cottus gulosus,Fish Tree of Life,backbone tree
Cottus hypselurus,Fish Tree of Life,backbone tree
Cottus klamathensis,Fish Tree of Life,backbone tree
Cottus leiopomus,Fish Tree of Life,backbone tree
Cottus marginatus,Fish Tree of Life,backbone tree
Cottus perplexus,Fish Tree of Life,backbone tree
Cottus pitensis,Fish Tree of Life,backbone tree
Cottus rhotheus,Fish Tree of Life,backbone tree
Cottus ricei,Fish Tree of Life,backbone tree
Cottus tallapoosae,Fish Tree of Life,backbone tree
Cottus tenuis,Fish Tree of Life,backbone tree
Couesius plumbeus,Fish Tree of Life,backbone tree
Crystallaria asprella,Fish Tree of Life,backbone tree
Ctenogobius boleosoma,Fish Tree of Life,backbone tree
Ctenopharyngodon idella,Fish Tree of Life,backbone tree
Culaea inconstans,Fish Tree of Life,backbone tree
Cycleptus elongatus,Fish Tree of Life,backbone tree
Cycleptus meridionalis,Fish Tree of Life,backbone tree
Cymatogaster aggregata,Fish Tree of Life,backbone tree
Cynoscion arenarius,Fish Tree of Life,backbone tree
Cynoscion nebulosus,Fish Tree of Life,backbone tree
Cynoscion nothus,Fish Tree of Life,backbone tree
Cyprinella analostana,Fish Tree of Life,backbone tree
Cyprinella caerulea,Fish Tree of Life,backbone tree
Cyprinella callisema,Fish Tree of Life,backbone tree
Cyprinella callistia,Fish Tree of Life,backbone tree
Cyprinella callitaenia,Fish Tree of Life,backbone tree
Cyprinella camura,Fish Tree of Life,backbone tree
Cyprinella chloristia,Fish Tree of Life,backbone tree
Cyprinella galactura,Fish Tree of Life,backbone tree
Cyprinella gibbsi,Fish Tree of Life,backbone tree
Cyprinella labrosa,Fish Tree of Life,backbone tree
Cyprinella leedsi,Fish Tree of Life,backbone tree
Cyprinella lepida,Fish Tree of Life,backbone tree
Cyprinella lutrensis,Fish Tree of Life,backbone tree
Cyprinella nivea,Fish Tree of Life,backbone tree
Cyprinella proserpina,Fish Tree of Life,backbone tree
Cyprinella pyrrhomelas,Fish Tree of Life,backbone tree
Cyprinella spiloptera,Fish Tree of Life,backbone tree
Cyprinella trichroistia,Fish Tree of Life,backbone tree
Cyprinella venusta,Fish Tree of Life,backbone tree
Cyprinella whipplei,Fish Tree of Life,backbone tree
Cyprinella xaenura,Fish Tree of Life,backbone tree
Cyprinella zanema,Fish Tree of Life,backbone tree
Cyprinodon eximius,Fish Tree of Life,backbone tree
Cyprinodon pecosensis,Fish Tree of Life,backbone tree
Cyprinodon rubrofluviatilis,Fish Tree of Life,backbone tree
Cyprinodon variegatus,Fish Tree of Life,backbone tree
Cyprinus carpio,Fish Tree of Life,backbone tree
Dionda argentosa,Fish Tree of Life,backbone tree
Dionda diaboli,Fish Tree of Life,backbone tree
Dionda episcopa,Fish Tree of Life,backbone tree
Dionda nigrotaeniata,Fish Tree of Life,backbone tree
Dionda serena,Fish Tree of Life,backbone tree
Dormitator maculatus,Fish Tree of Life,backbone tree
Dorosoma cepedianum,Fish Tree of Life,backbone tree
Dorosoma petenense,Fish Tree of Life,backbone tree
Elassoma alabamae,Fish Tree of Life,backbone tree
Elassoma evergladei,Fish Tree of Life,backbone tree
Elassoma gilberti,Fish Tree of Life,backbone tree
Elassoma okefenokee,Fish Tree of Life,backbone tree
Elassoma zonatum,Fish Tree of Life,backbone tree
Eleotris amblyopsis,Fish Tree of Life,backbone tree
Eleotris pisonis,Fish Tree of Life,backbone tree
Elops affinis,Fish Tree of Life,backbone tree
