source,taxa,type,rooted,total_tips,tips_used,percent_of_tree,referenece,doi,download_link,notes
Fish Tree of Life,Actinopterygii,chronogram,TRUE,11596,715,87.73,"Rabosky et al., (2018)",https://doi.org/10.1038/s41586-018-0273-1,https://fishtreeoflife.org,Can download using  'fishtree' r package doi:10.1093/sysbio/syz081
timetree_Chrosomus.nwk,Chrosomus,chronogram,TRUE,7,1,0.12,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac174,https://timetree.org ,"Query using ""Chrosomus"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Coregoninae.nwk,Coregoninae,chronogram,TRUE,34,1,0.12,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac175,https://timetree.org ,"Query using ""Coregoninae"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Fundulidae.nwk,Fundulidae,chronogram,TRUE,38,1,0.12,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac176,https://timetree.org ,"Query using ""Fundulidae"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Gobiiformes.nwk,Gobiiforme,chronogram,TRUE,718,4,0.49,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac177,https://timetree.org ,"Query using ""Gobiiformes"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Lepidomeda.nwk,Lepidomeda,chronogram,TRUE,4,1,0.12,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac178,https://timetree.org ,"Query using ""Lepidomeda"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Loricariidae.nwk,Loricariidae,chronogram,TRUE,603,1,0.12,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac179,https://timetree.org ,"Query using ""Loricariidae"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Petromyzontiformes.nwk,Petromyzontiformes,chronogram,TRUE,53,13,1.6,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac180,https://timetree.org ,"Query using ""Petromyzontiformes"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Poeciliinae.nwk,Poeciliinae,chronogram,TRUE,204,1,0.12,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac181,https://timetree.org ,"Query using ""Poeciliinae"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
timetree_Pogonichthyinae.nwk,Pogonichthyinae,chronogram,TRUE,234,10,1.23,"Kumar et al., (2022)",https://doi.org/10.1093/molbev/msac182,https://timetree.org ,"Query using ""Pogonichthyinae"" in ""Build a Timetree"" with Taxonomic Rank set to ""species""."
Catostomidae_Bagley_et_al_2018.phy,Catostomidae,chronogram,TRUE,102,5,0.61,Bagley et al. (2018),https://doi.org/10.7717/peerj.5168 ,http://dx.doi.org/10.17632/trw6sb4v7w.2 ,Filename: BEAST_time_tree.zip
cyprinids_hollingsworth_et_al_2013.phy,Cyprinidae,chronogram,TRUE,223,6,0.74,"Hollingsworth et al., (2013)",https://doi.org/10.1186/1471-2148-13-272 ,NA,"Contact authors of  Hollingsworth et al., (2013) for data"
elassoma_sandel_et_al_2014.nwk.txt,Elassoma,phylogram,FALSE,24,1,0.12,"Sandel et al., (2014)",https://doi.org/10.1016/j.ympev.2014.04.018 ,https://ars.els-cdn.com/content/image/1-s2.0-S1055790314001468-mmc6.nwk ,
erimyzon_hunt_et_al_2021.tre,Erimyzon,chronogram,TRUE,21,1,0.12,"Hunt et al., (2021)",https://doi.org/10.1643/i2020115 ,https://www.ichthyologyandherpetology.org/i2020115,"Download Tree file: IRBP2 genetree of Erimyzon inferred from maximum-likelihood analysis, using RAxML v.8.02."
Labidesthes_bloom_et_al_2013.tre,Labidesthes,chronogram,TRUE,58,1,0.12,"Bloom et al., (2009)",https://doi.org/10.1643/CI-07-151,NA,"Contact authors of Bloom et al., (2009) for data"
Lepomis_kim_et_al_2022.tree,Lepomis,chronogram,TRUE,7,1,0.12,"Kim, Bauer, et al. (2022)",https://doi.org/10.1093/sysbio/syab029,NA,"Contact authors of Kim et al., (2022a) for data"
Macrhybopsis_hoagstrom_echelle_2022.tre,Macrhybopsis,chronogram,TRUE,14,4,0.49,"Hoagstrom & Echelle, (2022)",https://doi.org/10.1007/s10641-022-01220-0 ,NA,"Contact authors of Hoagstrom & Echelle, (2022) for data"
Micropterus_kim_et_al_2022.tre,Micropterus,chronogram,TRUE,19,14,1.72,"Kim, Taylor et al. (2022)",https://doi.org/10.1038/s41598-022-11743-2,https://doi.org/10.5061/dryad.ksn02v75w,"Contact authors of Kim et al., 2022b) for time calibrated tree"
percidea_near_et_al_2011.nex,Percidea,phylogram,FALSE,407,8,0.98,"Near et al., (2011)",https://doi.org/10.1093/sysbio/syr052,http://www.treebase.org;  S11538,
