SVDQuartets taxon,Specimen
Malt1,Micropterus sp. Altamaha Bass
Mcah3,Micropterus cahabae
Mcat2,Micropterus cataractae
Mcho4,Micropterus sp. Choctaw Bass
Mcht1,Micropterus chattahoochae
Mcoo3,Micropterus coosae
Mdoldol3,Micropterus dolomieu
Mdollit4,M_cf_dolomieu_Little_AT_CS1
Mdoloua3,M_cf_dolomieu_Ouachita_AT_CD14
Mdolvel1,Micropterus velox
Mflo2,Micropterus salmoides
Mhen3,Micropterus henshalli
Mnot1,Micropterus notius
Mpun3,Micropterus punctulatus
Msal1,Micropterus nigricans
Msvn3,Micropterus sp. Bartram's Bass
Mtal3,Micropterus tallapoosae
Mtre1,Micropterus treculii
Mwar3,Micropterus warriorensis
